id,comment,rating
56469,Muito legal. Kkkk legal com os amigos no app,5
56872,Adoro. Simplesmente completo,5
64271,Adorei. Ótimo este aplicativo,5
77129,Muito bom. Vc vai gostat,5
56660,Good. Bom;,4
62282,Legal. Gostei,3
55991,Adorei. Top,5
78192,Não funciona mais!!!. Não consigo acessar minha conta! Pede que baixe novo app só que o Bradesco Prime não e compatível com meu tablet!!,1
80071,Não consigo acessar e não pede nenhuma instalação,1
56969,Adrmotta. Muito bom recomendo a todos,5
53648,Facebook. Muito bom,5
55330,Tooop esse app o melhor. ..Parabéns ao criador,5
79980,Ótimo. Esse app e muito bom não tenho o que reclamar.,5
70699,App lixo. Nunca funciona,1
50457,Muito bom!. Criativo,5
52303,Ocupa cada vez mais memória. Cada vez que atualiza; aumenta o espaço  do app na memória; assim não dá.  E não abre mais as fotos na timeline,3
64601,É muito bom,5
62569,Legal. Muito bom,4
80896,Espearava mais. Não consigo ver algumas opções,2
58957,Adorei super útil. Amei,5
61865,Td d bom,5
58097,Muito bom. Gosto muito do Instagram! ?,5
67647,Muito Bom. Eu adoro este aplicativo,5
51381,Maior porcaria não abre mds,1
77718,Sempre deixa na mão. Falha com frequência nas transações,2
80486,Apps. B.Bradesco.. Eu gostei ;eu apóio,3
61773,E muito legal. So nao consigo fazer camadas e nao recebo ligaçoes,4
68359,So filé esse app,5
54214,Toda hra trava affs,1
77451,App razoável. Trava muito; não conclui as operações.,3
78555,Ótimo,5
53924,Uma bosta. Não consigo postar fotos mas,1
62971,Toop,5
50557,Bom. Muito bom,4
51610,Bosta. Nem abre essa porcaria!,1
55640,Massa,4
55469,Legal. Muito bom gostei,5
51864,Bom. Muito bom gostei muito,5
55575,Maneiro. Muito bom,5
69988,Muinto ruim nao acessa a conta,1
65227,OMG. Adoroooooo,5
66414,+ou-. Facebook obriga a baixa .,3
56465,Amo. Amo demais?,5
60028,A cada atualização melhor !,5
69485,Verdeiro lixo. A caixa poderia desenvolver um apk que preste por que esse e um  lixo,1
80724,Ótimo. Muito bom,5
59245,Otimo. Muuuuito bom amei,5
65122,Bom de mais. Maravilhoso daria mais esrtrela se tivesse??,5
50944,muito bom. samara,5
58676,Adorei,5
54804,Bom.. Precisa permitir cortes retangulares nas fotografias.,4
52317,Eu Gostoi que nao gosta e quem nao tem facebook  ou meche no pc. ?????,3
71916,Caixa Econômica Federal. Eu adorei esse aplicativo. Pq é prático; fácil e ágil. Não precisa nem sair de casa. Vc já tem um Banco em casa msm. Maravilhoso,5
68989,Lixo. Nao funciona mais..perda de tempo.,1
54520,Otimo recomendo. Mt bam,5
50576,Trava muito  não estar bom lixo,2
71559,Uma bosta não presta. Não ajuda nada; e não entra na conta,1
78202,É bom mais começou a dá erro,3
55886,Bom. Muito bom mesmo,5
51330,Bom. Muinto bom mesmo ““,5
63017,Muito bom. Uma ferramenta muito util. Pessoalmente e profissionalmente.,5
65294,Amém. Que criação esse aplicativo,5
54405,Bom. Vcs sai pé frio msm no meu deu bem,4
80283,Bom. Faz uns dois dias que não abre ;,3
76939,Pessimo. Muito ruin;,1
50157,Otimo,5
63521,Bom,4
65241,Huawei Ascens. Perfeito.,5
76828,No meu funciona perfeitamente!,5
76528,Adorei,5
66510,Bom. Adorei cada vez melhor,5
58947,Otimoooo. Pode Baixaa E otimo recomendo,5
64479,Adorei. Isso e maguinifico,5
63059,Ok,3
70474,Não gostei. Uma Bosta;Não funciona nada lixooooooo,1
62570,Bom de mas,5
80965,Não tá entrando. Não tô conseguindo ver o saldo ??,2
51729,"Terrivel&gt,Odiei. Pede pra fazer atualizações constantes e em vez de melhorar piora ainda mas; trava tudo fotos não aparecem; videos não abrem; curtidas não acontecem e fora que deixa o aparelho lento no meu caso meu tablet que constantemente tenho que reiniciar.",1
80442,Tá de brincadeira. Um banco deste porte nao ter como tirar um comprovante salarial os caixa electrónico nunca funciona em juiz de fora so nas agencias nos posto de auto Atendimento tudo em manutenção a mais de 12 anos como cliente e uma luta,1
53790,Muito ruim; já instalei e desinstalei umas quatro vezes; não dá certo; fuiiii,1
69888,A cara do governo brasileiro. Quem fez esse aplicativo foi um politico ?,1
61225,E muito bom. Amei esse app,5
67711,E muito da oora. Boa,5
64445,Mais ou menos. Era otimo ants de comesar essa putaria de actualizacao mais o APP e muito  bom,4
61506,Baixa ae em cima rapido. Excelente,5
55464,Muito bom; melhor apple de Photos..,5
78170,So fixa finalizando. N consigo abrir; uma porcaria!,1
72303,Uma porcaria. Vive fora do ar.,1
70605,Nao funciona. Ruim,1
80438,Faz tempo que não consigo acessar,1
77949,Não funciona mais. Já tem mais de mês que não entra.  Por que?,1
79314,Bom; mas;. Eh imprescindível que o app tenha a função para visualizar o limite total e o limite disponível do cartão de crédito!!! Por gentileza arrumem isso!!! De resto está Ok.,4
64586,uma merda..trava muito;e pior é obrigarem a gente a usar uma porcaria dessa;,1
59221,Gostei; deu uma aparência mais moderna,4
67677,Lixo!. Pior aplicativo que eu ja tive ;trava toda hora,1
53610,Salve. Nota diez,5
53574,"Muito bom!. Recomendo,)",5
58723,Perfeito,5
56283,Gostei. Da pro gasto,3
78468,Não funciona.,1
71590,Bom demais; mudou minha vida. Consert Cell,5
50369,Bom mais demora baixa,4
70512,Muito ruim. Instalei no meu moto g e moto E esta ocorrendo erro ao tentar acessar a conta; ta um lixo o APP; qqer outro APP de outros bancos é melhor que esse lixo. Contratem Melhores Desenvolvedores para fazer um APP utilizável.,1
53669,Perfeeituuuh,5
68224,Muito bom!. Nova atualização funciona perfeitamente. Melhor aplicativo que já utilizei. Apesar de ser um banco ruim para relacionamento entre instituição e cliente; mas o app supera!,5
56015,Otimo,5
64535,Uma bosta,1
63650,Ser foçado à baixar isso não faz sentido,1
53203,Atende as minhas necessidades. Bem dependendi da internet ele atende aa minhas necessidades.,4
54627,Muito bom. Gostei muito,5
67320,Muito bom. ??,5
58751,Mt bom; Eficiente ; pratico e mt divertido ??? recomendo ???,5
80279,Ta lento demais,2
79031,Gostei seria bem melhor se podesse fazer tudo pelo celular mais a gente ainda tem que i no banco pedi algumas autorizações para que seja feito pelo celular,4
61523,Muito legal. Adoravel eu amei:-),5
60424,Merda. Nao tá fazer dawload,1
52505,Era muito bom agora trava direto e não abre as fotos.,2
79215,Bom,3
63989,Bom,3
80255,Atualizou ontem e desde então não consigo acessar nada dele!,1
71215,QUANDO VOCES VAO FAZER FUNCIONAR?. Vejo meu tio acessando todo dia a conta dele pelo celular! Mais tem uma coisa a conta dele é ITAU sera que vou ter que muda isso; melhorem e garanto que vocês vão ter 5 estrelas e um comentário bom,1
54566,Pftt. Não da mais para viver sem insta;,5
80299,Péssima att. Faz uma semana que tenho q logar umas 5 vezes ate conseguir ver o saldo; pq fica dando erro,1
52880,Travando. Está Travando muito; Tenho Moto G 2 geração;,2
58864,Muito bom,5
72282,Oh Bênção. Muito bom,5
58560,Amo. Instraga é o melhor épico,5
61878,Top to top,5
67388,Top de linha no S5 mini,5
59206,O melhor dos ultimos tempos. O melhor aplicativo do seculo,5
72434,Muito bom. Otimo,5
68319,Uma bosta precisa melhorar muito. Não chega nem perto de mais ou menos,1
57393,Ótimo,5
50313,NAo acredito. Piorou,2
54354,Muito bom,5
67260,Muito pesado,2
